origem,destino,dur_s,dur_h,dist_m,dist_km
Salvador-BA,Salvador-BA,0.0,0.0,0.0,0.0
Salvador-BA,Recife-PE,39575.1,10.993083333333333,805342.9,805.3429
Salvador-BA,Fortaleza-CE,64802.4,18.000666666666667,1184805.5,1184.8055
Salvador-BA,São Luís-MA,79747.0,22.151944444444446,1578111.2,1578.1112
Salvador-BA,Teresina-PI,56218.3,15.616194444444446,1147723.1,1147.7231000000002
Salvador-BA,Natal-RN,53746.4,14.929555555555556,1086851.8,1086.8518000000001
Salvador-BA,João Pessoa-PB,45553.7,12.653805555555556,919106.2,919.1062
Salvador-BA,Maceió-AL,29030.4,8.064,580511.3,580.5113
Salvador-BA,Aracaju-SE,16030.5,4.452916666666667,324209.9,324.2099
Recife-PE,Salvador-BA,38858.4,10.794,803839.4,803.8394000000001
Recife-PE,Recife-PE,0.0,0.0,0.0,0.0
Recife-PE,Fortaleza-CE,41077.4,11.410388888888889,803313.4,803.3134
Recife-PE,São Luís-MA,73763.5,20.48986111111111,1555919.6,1555.9196000000002
Recife-PE,Teresina-PI,50234.8,13.954111111111112,1125531.6,1125.5316
Recife-PE,Natal-RN,14523.2,4.034222222222223,283644.3,283.6443
Recife-PE,João Pessoa-PB,6330.5,1.7584722222222222,115898.7,115.89869999999999
Recife-PE,Maceió-AL,12870.4,3.575111111111111,258804.9,258.8049
Recife-PE,Aracaju-SE,24329.8,6.758277777777778,500008.9,500.00890000000004
